"Stock","Beta"
"AAPL",1.27
"MSFT",0.82
"AMZN",1.14
"FB",1.26
"GOOGL",0.99
"GOOG",0.99
"TSLA",2.09
"BRK.B",NA
"JPM",1.19
"JNJ",0.72
"NVDA",1.42
"V",0.98
"PYPL",1.14
"DIS",1.2
"PG",0.41
"UNH",0.76
"HD",1.02
"MA",1.19
"BAC",1.54
"INTC",0.67
"NFLX",0.83
"CMCSA",1.04
"VZ",0.47
"ADBE",0.97
"CRM",1.12
"ABT",0.73
"XOM",1.38
"T",0.73
"WMT",0.48
"TMO",0.81
"CSCO",0.91
"AVGO",1.04
"PFE",0.63
"KO",0.62
"MRK",0.44
"ABBV",0.81
"PEP",0.61
"CVX",1.33
"NKE",0.86
"ACN",1.12
"LLY",0.28
"TXN",1.06
"QCOM",1.36
"MDT",0.73
"MCD",0.62
"NEE",0.19
"COST",0.65
"DHR",0.63
"WFC",1.27
"UNP",1.11
"HON",1.2
"AMGN",0.73
"BMY",0.62
"PM",0.84
"C",1.91
"LIN",0.81
"LOW",1.35
"SBUX",0.86
"ORCL",0.78
"UPS",1.01
"BA",1.63
"NOW",0.99
"RTX",1.02
"CAT",0.95
"INTU",1.01
"AMD",2.2
"MS",1.51
"GS",1.47
"IBM",1.25
"AMAT",1.47
"GE",1.08
"BLK",1.17
"MMM",0.95
"AMT",0.23
"DE",0.98
"TGT",1
"MU",1.25
"CVS",0.82
"ISRG",1.01
"BKNG",1.23
"SCHW",1.07
"CHTR",1.01
"LRCX",1.31
"AXP",1.28
"LMT",0.94
"FIS",0.85
"GILD",0.43
"SPGI",0.95
"MO",0.62
"SYK",0.96
"ZTS",0.64
"TJX",0.98
"ATVI",0.66
"MDLZ",0.62
"PLD",0.78
"CI",0.85
"CB",0.69
"TFC",1.32
"BDX",0.78
"ANTM",1.01
"ILMN",1.02
"ADP",0.73
"PNC",1.35
"TMUS",0.57
"CCI",0.31
"CSX",1.15
"CME",NA
"USB",1.12
"CL",0.62
"COP",1.81
"GM",1.36
"ADSK",1.38
"DUK",0.25
"EL",0.9
"NSC",1.32
"FISV",0.91
"ICE",0.71
"FDX",1.31
"SO",0.43
"EQIX",0.31
"MMC",0.87
"D",0.35
"ADI",1.32
"SHW",1.05
"GPN",1.18
"APD",0.81
"ITW",1.11
"TWTR",0.75
"VRTX",0.64
"COF",1.71
"BSX",NA
"EW",1.02
"AON",0.84
"ECL",1.01
"KLAC",1.26
"EMR",1.58
"PGR",0.48
"REGN",0.16
"HUM",0.85
"ETN",1.15
"FCX",2.23
"DG",0.56
"HCA",1.65
"IDXX",0.89
"NOC",0.78
"NEM",0.25
"MCO",1.16
"F",1.2
"KMB",0.54
"WM",0.77
"DOW",NA
"SNPS",1.09
"ALGN",1.72
"TEL",1.38
"BIIB",0.43
"ROST",1.02
"MCHP",1.71
"MET",1.33
"EA",0.91
"APTV",2.19
"EBAY",1.16
"EXC",0.46
"CTSH",1.18
"CMG",1.31
"ROP",1.03
"APH",1.28
"JCI",1.1
"A",1.01
"DXCM",0.78
"BAX",0.66
"LHX",0.75
"CDNS",1.06
"AEP",0.25
"STZ",1.19
"DLR",0.14
"GD",NA
"SYY",1.41
"TRV",0.78
"DD",1.31
"SLB",2.39
"AIG",1.36
"EOG",2.13
"TROW",NA
"MSCI",0.92
"TT",1.24
"IQV",1.39
"HPQ",1.03
"SRE",0.65
"CMI",1.13
"WBA",0.47
"PSA",0.1
"SPG",1.54
"PSX",1.71
"PH",1.79
"BK",1.03
"MAR",1.87
"GIS",0.57
"INFO",1.01
"VIAC",1.81
"ALXN",1.24
"IFF",0.98
"XLNX",1.02
"MNST",1.09
"CNC",0.51
"ANSS",1.23
"MPC",2.15
"CTVA",NA
"PCAR",1.07
"PRU",1.67
"ZBH",1.35
"ORLY",1.04
"PPG",1.14
"XEL",0.28
"SWKS",1.16
"ALL",0.83
"YUM",1.05
"ADM",0.86
"TDG",1.67
"LUV",1.22
"HLT",1.29
"MSI",0.76
"AFL",0.98
"VRSK",0.8
"CARR",NA
"CTAS",1.5
"WLTW",0.77
"KMI",1.07
"BLL",0.43
"PEG",0.57
"AWK",0.22
"MCK",0.86
"GLW",1.19
"RMD",0.32
"SBAC",0.18
"ROK",1.38
"PAYX",0.89
"FRC",1.1
"DAL",1.45
"ES",0.33
"DFS",1.78
"WELL",1.03
"WMB",1.49
"VLO",2.16
"MTD",1.01
"AME",1.33
"AZO",0.89
"KEYS",0.96
"PXD",1.97
"ETSY",1.62
"SIVB",2.08
"SWK",1.45
"BBY",1.52
"FAST",1.25
"KR",0.31
"STT",1.58
"DHI",1.64
"WEC",0.17
"AMP",1.69
"ZBRA",1.63
"MXIM",1.24
"OTIS",NA
"WY",1.91
"DLTR",0.84
"VFC",0.97
"LYB",1.55
"AVB",0.98
"CPRT",1.02
"ED",0.16
"LEN",1.51
"KHC",1.09
"FITB",1.56
"ENPH",1.24
"CLX",0.2
"LH",1.04
"CBRE",1.5
"DTE",0.62
"TER",1.36
"EQR",0.76
"FTV",1.23
"FLT",1.49
"AJG",0.69
"CDW",1.07
"TTWO",0.63
"FTNT",1.07
"OXY",2.44
"VTRS",1.58
"HSY",0.32
"CERN",0.74
"WST",1
"O",0.72
"PPL",0.79
"EFX",1.34
"VMC",0.58
"MKC",0.48
"EIX",0.61
"HOLX",1.22
"EXPE",1.72
"ARE",0.77
"CHD",0.37
"WDC",1.62
"OKE",2
"SYF",1.81
"MKTX",0.44
"NTRS",1.09
"MLM",0.67
"KMX",1.66
"URI",2.12
"ODFL",1
"VRSN",0.8
"CTLT",1.49
"QRVO",1.44
"TSCO",1
"TSN",0.8
"KSU",1.01
"GRMN",1.01
"KEY",1.53
"RF",1.53
"PAYC",1.44
"AES",0.87
"IP",1.08
"LVS",1.47
"MTB",1.19
"VTR",1.32
"RSG",0.68
"TYL",0.6
"COO",0.83
"TFX",1.21
"ETR",0.53
"ULTA",1.76
"HAL",2.9
"AEE",0.25
"TRMB",1.52
"HPE",1.37
"HIG",1.04
"CFG",1.77
"AMCR",0.44
"XYL",1.04
"WAT",0.82
"DOV",1.31
"ESS",0.76
"FE",0.22
"CCL",2.32
"NUE",1.38
"BR",0.87
"ANET",1.11
"HES",2.24
"ALB",1.59
"GWW",1.2
"DRI",1.52
"NDAQ",0.84
"CAG",0.83
"AKAM",0.41
"CTXS",0.18
"NVR",1.01
"DGX",1.03
"PEAK",0.66
"PKI",1.15
"VAR",1.06
"MPWR",0.94
"CMS",0.16
"EXPD",0.77
"IR",1.55
"STX",1.16
"IT",1.6
"BKR",1.78
"STE",0.55
"MAA",0.67
"INCY",0.79
"ABC",0.49
"CE",1.22
"DRE",0.52
"NTAP",1.29
"HBAN",1.4
"EXR",0.2
"CAH",1.04
"EMN",1.55
"TDY",1.07
"DPZ",0.43
"K",0.64
"IEX",1.09
"AVY",0.98
"J",0.9
"OMC",0.91
"MGM",2.45
"ABMD",1.39
"GPC",1.11
"RJF",1.24
"WAB",1.68
"MAS",NA
"BIO",0.8
"LDOS",1
"CINF",0.62
"BF.B",NA
"RCL",2.87
"PFG",1.61
"FMC",0.99
"UAL",1.63
"POOL",0.76
"HRL",-0.05
"SJM",0.29
"BXP",NA
"DVN",3.45
"PKG",1
"FFIV",1.12
"NLOK",1.03
"UDR",0.75
"EVRG",0.38
"PHM",1.41
"DISCK",1.51
"CHRW",0.72
"LYV",1.38
"WHR",1.89
"LNT",0.33
"JBHT",1.03
"FBHS",1.64
"WYNN",2.5
"CNP",0.98
"TXT",1.73
"LUMN",1.1
"HAS",0.98
"ATO",0.37
"WRK",1.26
"XRAY",0.87
"JKHY",0.57
"LB",1.7
"L",0.9
"LW",0.79
"HWM",1.74
"HST",1.41
"AAL",1.83
"AAP",1.32
"BWA",1.63
"FANG",2.69
"TPR",1.48
"FOXA",NA
"PWR",1.24
"MOS",1.78
"CBOE",0.65
"LKQ",1.68
"SNA",1.27
"MHK",1.52
"ALLE",1.13
"UHS",1.21
"LNC",2.2
"IPG",1.01
"WU",1
"NRG",0.94
"RE",0.62
"CF",1.18
"WRB",0.81
"IRM",0.84
"CPB",0.58
"HSIC",0.84
"PNR",1.16
"GL",1.13
"NWL",0.99
"NWSA",1.62
"CMA",1.63
"RHI",1.62
"NI",0.3
"PNW",0.29
"TAP",1.15
"IVZ",1.31
"IPGP",1.47
"REG",1.09
"NLSN",1.44
"ZION",1.6
"ROL",0.47
"NCLH",2.87
"DISH",2
"AOS",1.04
"JNPR",0.83
"DISCA",1.51
"KIM",1.5
"DVA",1.32
"MRO",3.3
"BEN",1.29
"AIZ",0.61
"ALK",1.82
"COG",0.22
"FLIR",1.56
"HII",0.95
"APA",4.99
"FRT",1.13
"SEE",1.24
"PVH",2.44
"DXC",2.51
"PBCT",1.22
"HBI",1.45
"PRGO",1.21
"VNO",1.4
"NOV",2.29
"LEG",1.5
"RL",1.5
"UNM",1.73
"FLS",1.79
"HFC",1.78
"FOX",NA
"GPS",1.59
"SLG",1.66
"VNT",NA
"UAA",1.19
"XRX",1.89
"UA",1.19
"NWS",1.62
